gene_id	median_absolute_deviation
3418	1963.2358972851403
10382	1959.5761363235088
23406	1958.8502914827802
27242	1956.4449013790334
8662	1955.2726696004
10097	1955.1682009125682
5217	1948.530676481444
389434	1948.4297016661621
30846	1947.287389655614
10594	1947.2820719724402
1015	1943.7977450963926
10581	1941.1042864282326
57153	1940.0089590578204
26	1939.5708152872123
7345	1937.6364475418716
85456	1936.0396909205786
4133	1934.3369630850393
7227	1931.001304689676
10728	1930.9948095128896
5214	1929.2365085737117
10075	1928.461279386943
5478	1926.4462307864726
1650	1924.9007795510497
847	1924.8845760645424
4150	1924.5447419658024
3689	1922.9988383485406
4660	1921.7791367290963
60481	1920.8478610579198
2289	1915.939528792214
1314	1915.4079225948424
831	1913.9937426291915
10625	1912.1202248992174
2664	1910.9456925378424
10840	1907.4385299090425
27075	1905.3298569606654
1340	1905.213377333254
5552	1905.0165475162942
4853	1904.902886278684
4176	1902.0940340428292
6652	1900.432480239646
4811	1895.8883526037673
27250	1894.4398203311775
26135	1893.7462474309793
10809	1891.385386264469
2782	1890.5993094634664
1535	1889.17872203356
9804	1886.6778248543185
3304	1886.3412970064871
2217	1884.8128746492166
2331	1880.2719450508187
3671	1879.5812461507758
10109	1879.006451720264
51704	1878.06618919428
3929	1877.8287455926643
83543	1875.1714898414104
11343	1874.2427893730833
4642	1873.7729059319636
6418	1872.4486938621988
65125	1868.8274822584972
47	1864.7355632476817
2547	1860.9346582682092
7416	1857.9886162119817
27122	1857.4673510333919
4501	1857.2676728116398
1891	1856.276390559399
1622	1854.0458047669892
4922	1853.9765037551215
6836	1853.0748240153634
3897	1849.0731824081004
4609	1848.380525189202
158471	1847.4615887142609
1514	1847.3548074651803
2167	1843.9790163511523
7555	1842.3538894928586
6888	1841.747618535442
2315	1840.316088216078
8870	1839.9789519290828
5430	1839.9766039030935
3727	1839.7748073343298
51614	1835.9785585132995
3484	1833.1678622166278
1654	1832.8472159961414
26227	1827.456091477387
6695	1824.04804476569
653145	1823.7910361911424
3773	1823.7910229636195
537	1822.0368778346653
2260	1820.6016151046176
8714	1820.5397380861266
286077	1820.2987617008864
23020	1817.6476925738828
635	1816.7474161107405
8661	1815.0760315911389
6464	1812.8324093305416
84951	1811.0086704691341
4191	1806.9667770027006
11117	1806.4796792869001
5087	1805.3975805671835
51703	1805.389366503056
482	1804.8931191817217
5879	1804.8038164241746
9075	1803.1243781381243
93621	1803.0930822437147
55107	1802.48858091327
10580	1802.104234383134
7905	1802.0148729860393
8829	1801.3797850612486
3693	1801.325661963304
10983	1800.9818136193642
2125	1797.6771278367335
3609	1793.4031067853646
7532	1793.198178201363
4129	1792.0991643513585
1956	1790.5534571063197
26353	1789.9405018769255
80303	1789.6304340437987
7048	1789.2333827677953
2026	1788.55708851513
79689	1787.9748258712093
27044	1787.6377280579957
7373	1786.560735533916
7414	1781.585628870125
1528	1781.166436337442
4283	1780.531207150842
9021	1773.4338933677332
6721	1769.4780325082074
5754	1764.7831842957703
10768	1762.7014021874377
1992	1762.4553307139772
4288	1761.1152793424026
64759	1760.071511216417
570	1759.074608399067
7384	1758.2417965292473
4585	1755.4969135271285
1014	1755.3016584233899
1601	1753.873349806158
142	1752.084564134782
10106	1751.5418133679498
8754	1750.0232085059058
5352	1749.439644459876
8031	1748.8627636198626
26020	1748.0402607620858
65009	1747.9549209164043
1107	1744.0220126964732
1108	1743.7657879551468
7102	1743.4551245213881
9590	1742.2713060709739
3480	1741.962494036914
8667	1740.9852405497904
6424	1740.801166447805
58	1740.2393630103777
2783	1738.0547668631568
2006	1736.594621772282
873	1736.5050256778643
84726	1736.0593221227577
9448	1734.4220639669418
222166	1734.3351175723735
10491	1734.2674157927029
3426	1733.5463540132546
150094	1733.2572361059283
3696	1732.7858019188116
23326	1731.861482418562
5093	1730.5177722584617
84525	1730.0050145190996
3482	1726.7144505983772
6663	1726.622315897836
150696	1726.2412604901176
114823	1724.8961683974894
284361	1724.4179513720753
527	1724.340235339981
10576	1723.8015087010413
5655	1723.480911574897
224	1722.6662548865515
